City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
168,Waitati,NZ,11/4/2019 8:03,-45.75,170.57,54,93,4,5.99,clear sky,0,0
169,Neepawa,CA,11/4/2019 8:03,50.23,-99.46,24.8,92,75,8.05,broken clouds,0,0
170,Ossora,RU,11/4/2019 8:03,59.24,163.07,38.08,95,100,26.98,light rain,1.94,0
171,Ayorou,NE,11/4/2019 8:03,14.73,0.92,91.11,22,88,3.94,overcast clouds,0,0
172,Port Maria,JM,11/4/2019 8:03,18.37,-76.89,78.8,69,20,5.82,few clouds,0,0
173,Portland,US,11/4/2019 8:00,43.66,-70.25,39.2,60,1,8.05,clear sky,0,0
174,Praia Da Vitoria,PT,11/4/2019 8:03,38.73,-27.07,62.6,100,90,17.11,overcast clouds,0,0
175,Rio Gallegos,AR,11/4/2019 8:03,-51.62,-69.22,42.8,60,8,27.51,clear sky,0,0
176,College,US,11/4/2019 8:03,64.86,-147.8,15.8,92,1,4.7,clear sky,0,0
177,Karasjok,NO,11/4/2019 8:03,69.47,25.52,30.2,58,20,40.26,few clouds,0,0
178,Dudinka,RU,11/4/2019 8:03,69.41,86.18,-0.41,84,75,20.13,light shower snow,0,0
179,Kikwit,CD,11/4/2019 8:03,-5.04,18.82,83.97,61,100,4.59,overcast clouds,0,0
180,Quilmana,PE,11/4/2019 8:03,-12.95,-76.38,60.35,91,65,2.33,broken clouds,0,0
181,Samarai,PG,11/4/2019 8:03,-10.62,150.67,74.68,92,100,5.1,light rain,0.75,0
182,Price,US,11/4/2019 8:03,39.6,-110.81,34,31,1,6.93,clear sky,0,0
183,Tura,RU,11/4/2019 8:03,64.27,100.22,-7.25,88,99,1.95,overcast clouds,0,0
184,Kontagora,NG,11/4/2019 8:03,10.4,5.47,86.36,43,99,2.8,overcast clouds,0,0
185,Dzilam Gonzalez,MX,11/4/2019 8:03,21.28,-88.93,81,78,86,11.01,light rain,0.75,0
186,Bambous Virieux,MU,11/4/2019 8:03,-20.34,57.76,80.6,69,40,18.34,scattered clouds,0,0
187,Rosetta,EG,11/4/2019 8:03,31.4,30.42,73.4,69,0,5.82,clear sky,0,0
188,Tautira,PF,11/4/2019 8:03,-17.73,-149.15,78.8,83,75,3.36,light rain,0,0
189,Molina,CL,11/4/2019 8:03,-35.11,-71.28,53.6,76,100,5.82,overcast clouds,0,0
190,Sao Filipe,CV,11/4/2019 8:03,14.9,-24.5,78.94,71,32,9.08,scattered clouds,0,0
191,Nouadhibou,MR,11/4/2019 8:03,20.93,-17.03,73.4,64,0,12.75,clear sky,0,0
192,Keti Bandar,PK,11/4/2019 8:03,24.14,67.45,89.24,48,2,11.54,light rain,0.38,0
193,Atambua,ID,11/4/2019 8:03,-9.11,124.89,79.05,71,5,5.66,light rain,1.06,0
194,Cherskiy,RU,11/4/2019 8:03,68.75,161.3,14.49,89,91,1.57,overcast clouds,0,0
195,Victoria,BN,11/4/2019 8:03,5.28,115.24,89.6,70,75,8.05,broken clouds,0,0
196,Egvekinot,RU,11/4/2019 8:03,66.32,-179.17,8.31,96,60,3.51,broken clouds,0,0
197,Nalut,LY,11/4/2019 8:03,31.86,10.98,74.3,39,0,10.49,clear sky,0,0
198,Peniche,PT,11/4/2019 8:03,39.36,-9.38,64.4,72,20,9.17,few clouds,0,0
199,Ribeira Grande,PT,11/4/2019 8:03,38.52,-28.7,64.4,88,75,10.29,light intensity shower rain,0,0
